0,86,85,67,10,3,27,972,10,6,0.0,None,None,2015-12-29,15,12,15,881466
1,79,69,51,11,3,28,1296,2,3,0.0,None,None,2015-12-29,15,12,16,882524
2,38,61,84,11,2,13,1620,18,2,0.0,None,None,2015-12-29,15,12,17,883586
3,80,54,86,9,4,32,1944,18,6,0.0,None,None,2015-12-29,15,12,18,884556
4,43,75,64,12,2,10,2592,13,7,0.0,None,None,2015-12-29,15,12,19,885686
5,39,31,47,9,1,14,2916,11,4,0.0,None,None,2015-12-29,15,12,20,886636
6,53,35,52,11,2,26,3239,17,5,0.0,None,None,2015-12-29,15,12,21,887688
7,51,87,41,12,3,18,3563,3,4,0.0,None,None,2015-12-29,15,12,22,888849
8,38,62,30,11,5,18,4211,9,5,0.0,None,None,2015-12-29,15,12,23,889811
9,45,82,81,10,1,16,4859,16,6,0.0,None,None,2015-12-29,15,12,24,890555
10,45,82,81,10,1,16,4859,16,6,0.0,None,None,2015-12-29,15,12,25,891498
11,84,53,79,9,1,11,5507,11,1,0.0,None,None,2015-12-29,15,12,26,892385
12,84,53,79,9,1,11,5507,11,1,0.0,None,None,2015-12-29,15,12,27,893319
13,73,48,34,9,1,19,0,9,6,0.0,None,None,2015-12-29,15,12,28,894403
14,67,62,69,11,1,31,324,15,6,0.0,None,None,2015-12-29,15,12,29,895447
15,67,62,69,11,1,31,324,15,6,0.0,None,None,2015-12-29,15,12,30,896605
16,74,38,85,9,1,19,648,18,7,0.0,None,None,2015-12-29,15,12,31,898060
17,59,67,63,11,1,20,1296,10,1,0.0,None,None,2015-12-29,15,12,32,898862
18,67,31,75,9,4,30,1620,2,5,0.0,None,None,2015-12-29,15,12,33,899956
19,64,81,66,10,3,20,1944,16,1,0.0,None,None,2015-12-29,15,12,34,900914
20,33,52,86,12,5,16,2592,8,5,0.0,None,None,2015-12-29,15,12,35,901844
21,47,81,39,12,2,16,2916,12,7,0.0,None,None,2015-12-29,15,12,36,902803
22,59,30,79,12,5,20,3239,17,4,0.0,None,None,2015-12-29,15,12,37,903587
23,75,50,86,13,3,33,3563,8,1,0.0,None,None,2015-12-29,15,12,38,904597
24,46,62,64,11,5,16,3887,6,4,0.0,None,None,2015-12-29,15,12,39,905382
25,75,66,83,13,1,26,4535,8,5,0.0,None,None,2015-12-29,15,12,40,906475
26,75,46,68,9,4,17,4859,16,3,0.0,None,None,2015-12-29,15,12,41,908103
27,47,61,68,13,5,22,5183,13,6,0.0,None,None,2015-12-29,15,12,42,909740
28,52,43,47,10,4,24,5507,5,2,0.0,None,None,2015-12-29,15,12,43,911357
29,48,30,64,9,1,32,5831,4,2,0.0,None,None,2015-12-29,15,12,44,912987
30,36,37,68,9,2,20,0,11,5,0.0,None,None,2015-12-29,15,12,45,914631
31,83,50,84,12,3,20,324,11,4,0.0,None,None,2015-12-29,15,12,46,916259
32,72,67,73,13,3,32,648,7,7,0.0,None,None,2015-12-29,15,12,47,917884
33,42,63,73,11,1,10,1296,17,7,0.0,None,None,2015-12-29,15,12,48,919512
34,50,70,63,12,4,11,1620,12,1,0.0,None,None,2015-12-29,15,12,49,921126
35,49,62,64,13,3,34,1944,19,1,0.0,None,None,2015-12-29,15,12,50,922762
36,73,40,30,12,1,31,2268,5,3,0.0,None,None,2015-12-29,15,12,51,924384
37,89,60,31,10,5,29,2592,10,7,0.0,None,None,2015-12-29,15,12,52,926102
38,54,50,68,10,1,13,2916,5,5,0.0,None,None,2015-12-29,15,12,53,927727
39,30,88,44,13,4,30,3239,13,4,0.0,None,None,2015-12-29,15,12,54,929346
40,36,80,83,12,1,20,3887,16,2,0.0,None,None,2015-12-29,15,12,55,930977
41,36,80,83,12,1,20,3887,16,2,0.0,None,None,2015-12-29,15,12,56,932595
42,77,51,80,9,5,12,4211,13,2,0.0,None,None,2015-12-29,15,12,57,934222
43,35,71,87,12,3,25,4535,6,1,0.0,None,None,2015-12-29,15,12,58,935967
44,86,34,50,12,3,30,5183,8,4,0.0,None,None,2015-12-29,15,12,59,937589
45,42,49,68,10,2,26,5507,7,3,0.0,None,None,2015-12-29,15,13,0,939206
46,81,71,75,9,1,18,5831,11,2,0.0,None,None,2015-12-29,15,13,1,940840
47,61,53,64,12,3,12,0,19,6,0.0,None,None,2015-12-29,15,13,2,942453
48,78,46,51,9,1,26,648,7,3,0.0,None,None,2015-12-29,15,13,3,944069
49,30,81,79,9,3,21,972,10,3,0.0,None,None,2015-12-29,15,13,4,945762
50,77,39,86,10,2,26,1296,17,6,0.0,None,None,2015-12-29,15,13,5,947381
51,81,60,68,10,5,28,1620,6,5,0.0,None,None,2015-12-29,15,13,6,949022
52,77,39,68,13,1,28,1944,18,5,0.0,None,None,2015-12-29,15,13,7,950642
53,77,30,64,9,2,20,2268,5,5,0.0,None,None,2015-12-29,15,13,8,951922
54,61,42,54,10,3,10,2592,9,7,0.0,None,None,2015-12-29,15,13,9,952721
55,62,80,57,11,5,32,2916,17,5,0.0,None,None,2015-12-29,15,13,10,954106
56,39,34,49,10,1,24,3239,12,2,0.0,None,None,2015-12-29,15,13,11,955924
57,39,80,67,10,4,28,3563,4,7,0.0,None,None,2015-12-29,15,13,12,957555
58,89,46,77,12,5,22,3887,5,3,0.0,None,None,2015-12-29,15,13,13,959173
59,51,55,89,10,4,33,4535,18,7,0.0,None,None,2015-12-29,15,13,14,960799
60,33,89,55,10,3,34,4859,15,3,0.0,None,None,2015-12-29,15,13,15,962429
61,36,80,73,11,3,26,5183,18,3,0.0,None,None,2015-12-29,15,13,16,964054
62,70,59,55,11,3,14,5507,11,1,0.0,None,None,2015-12-29,15,13,17,965754
63,52,59,69,12,4,17,5831,11,7,0.0,None,None,2015-12-29,15,13,18,967390
64,51,67,9,5,0.0,None,None,2015-12-29,15,13,19,969012
65,43,77,62,13,2,33,324,16,6,0.0,None,None,2015-12-29,15,13,20,970637
66,53,89,44,13,2,20,648,9,1,0.0,None,None,2015-12-29,15,13,21,972249
67,76,69,80,9,4,29,972,3,3,0.0,None,None,2015-12-29,15,13,22,973864
68,47,63,58,11,1,18,1620,8,3,0.0,None,None,2015-12-29,15,13,23,975496
69,44,41,34,10,2,25,1944,6,2,0.0,None,None,2015-12-29,15,13,24,977102
70,34,63,51,11,5,19,2268,7,4,0.0,None,None,2015-12-29,15,13,25,978710
71,31,35,32,11,3,14,2592,3,3,0.0,None,None,2015-12-29,15,13,26,980334
72,62,49,86,9,3,33,3239,18,7,0.0,None,None,2015-12-29,15,
73,62,49,86,9,3,33,3239,18,7,0.0,None,None,2015-12-29,15,13,28,983504
74,80,78,75,12,3,29,3887,10,6,0.0,None,None,2015-12-29,15,13,29,985110
75,65,68,30,13,3,14,4211,11,1,0.0,None,None,2015-12-29,15,13,30,986904
76,60,65,45,13,5,23,4535,2,1,0.0,None,None,2015-12-29,15,13,31,988547
77,46,64,50,9,1,28,4859,11,5,0.0,None,None,2015-12-29,15,13,33,5705
78,77,51,64,12,2,33,5183,7,1,0.0,None,None,2015-12-29,15,13,34,7415
79,79,63,69,10,1,24,5507,15,6,0.0,None,None,2015-12-29,15,13,35,9115
80,70,43,72,12,3,29,5831,2,1,0.0,None,None,2015-12-29,15,13,36,10810
81,30,50,66,11,1,22,0,3,4,0.0,None,None,2015-12-29,15,13,37,12521
82,71,54,30,9,4,17,324,17,4,0.0,None,None,2015-12-29,15,13,38,14213
83,55,32,59,9,5,28,648,16,2,0.0,None,None,2015-12-29,15,13,39,16025
84,73,44,87,13,4,10,1296,9,1,0.0,None,None,2015-12-29,15,13,40,17735
85,74,72,85,9,3,25,1620,7,4,0.0,None,None,2015-12-29,15,13,41,19427
86,52,73,59,9,4,13,1944,11,4,0.0,None,None,2015-12-29,15,13,42,21133
87,34,69,66,13,3,18,2592,16,3,0.0,None,None,2015-12-29,15,13,43,22821
88,71,62,78,12,5,29,3239,13,6,0.0,None,None,2015-12-29,15,13,44,24559
89,37,83,89,12,5,15,3,None,None,2015-12-29,15,13,45,26180
90,37,83,89,12,5,15,3563,14,1,0.0,None,None,2015-12-29,15,13,46,27864
91,86,79,57,13,5,19,3887,11,5,0.0,None,None,2015-12-29,15,13,47,29554
92,77,40,59,11,4,16,4211,19,2,0.0,None,None,2015-12-29,15,13,48,34583
93,36,80,61,11,4,22,4859,3,4,0.0,None,None,2015-12-29,15,13,49,36325
94,51,63,78,9,1,19,5183,2,7,0.0,None,None,2015-12-29,15,13,50,38073
95,40,42,89,11,5,17,5507,2,4,0.0,None,None,2015-12-29,15,13,51,39822
96,63,32,31,10,4,26,5831,12,6,0.0,None,None,2015-12-29,15,13,52,41544
97,34,89,39,13,1,30,0,12,7,0.0,None,None,2015-12-29,15,13,53,43352
98,68,78,82,12,1,22,324,4,6,0.0,None,None,2015-12-29,15,13,54,45109
99,73,85,49,12,5,21,648,2,6,0.0,None,None,2015-12-29,15,13,55,46963
100,30,51,40,12,2,29,972,13,7,0.0,None,None,2015-12-29,15,13,56,48722
101,40,42,53,9,5,10,1296,17,1,0.0,None,None,2015-12-29,15,13,57,50545
102,30,32,71,9,5,34,1944,8,2,0.0,None,None,2015-12-29,15,13,58,52292
103,83,58,72,10,2,28,2268,9,1,0.0,None,None,2015-12-29,15,13,59,54152
104,67,63,34,12,2,31,2592,3,1,0.0,None,None,2015-12-29,15,14,0,56160
105,59,38,30,11,3,26,2916,9,3,0.0,None,None,2015-12-29,15,14,1,58018
106,42,41,53,10,1,17,3239,7,4,0.0,None,None,2015-12-29,15,14,2,59868
107,88,64,30,12,5,10,3887,10,3,0.0,None,None,2015-12-29,15,14,3,61600
108,52,86,86,10,4,24,4211,16,4,0.0,None,None,2015-12-29,15,14,4,63338
109,52,58,89,11,1,26,4535,17,1,0.0,None,None,2015-12-29,15,14,5,65150
110,50,40,68,11,1,13,4859,6,2,0.0,None,None,2015-12-29,15,14,6,66881
111,53,73,42,10,5,31,5183,4,6,0.0,None,None,2015-12-29,15,14,7,68658
112,85,47,76,11,3,20,5831,2,5,0.0,None,None,2015-12-29,15,14,8,70363
113,39,79,74,13,2,22,324,7,4,0.0,None,None,2015-12-29,15,14,9,72243
114,53,70,69,9,4,26,648,3,3,0.0,None,None,2015-12-29,15,14,10,73982
115,59,86,63,10,4,26,972,17,6,0.0,None,None,2015-12-29,15,14,11,76036
116,37,76,82,13,2,14,1296,5,7,0.0,None,None,2015-12-29,15,14,12,77814
117,69,85,79,12,4,13,1944,17,4,0.0,None,None,2015-12-29,15,14,13,79609
118,38,39,36,12,2,34,2268,11,1,0.0,None,None,2015-12-29,15,14,14,81406
119,38,86,69,13,3,26,2592,12,3,0.0,None,None,2015-12-29,15,14,15,83219
120,88,58,33,9,2,18,3239,12,6,0.0,None,None,2015-12-29,15,14,16,84860
121,73,87,42,12,4,13,3563,9,2,0.0,None,None,2015-12-29,15,14,17,86607
122,84,40,48,9,1,14,4211,11,5,0.0,None,None,2015-12-29,15,14,18,88386
123,73,67,76,13,4,10,4535,2,6,0.0,None,None,2015-12-29,15,14,19,90245
124,69,74,43,10,4,34,4859,5,5,0.0,None,None,2015-12-29,15,14,20,91957
125,37,75,40,11,1,24,5183,10,4,0.0,None,None,2015-12-29,15,14,21,93819
126,81,56,70,9,3,13,5507,6,4,0.0,None,None,2015-12-29,15,14,22,95501
127,55,37,34,12,1,21,5831,18,1,0.0,None,None,2015-12-29,15,14,23,97301
128,52,78,73,11,2,12,0,17,6,0.0,None,None,2015-12-29,15,14,24,99045
129,59,32,85,9,5,26,324,17,7,0.0,None,None,2015-12-29,15,14,25,100772
130,88,32,81,10,1,18,972,10,5,0.0,None,None,2015-12-29,15,14,26,102579
131,81,47,70,13,2,34,1296,5,7,0.0,None,None,2015-12-29,15,14,27,104249
132,89,44,51,10,2,20,1620,18,6,0.0,None,None,2015-12-29,15,14,28,106214
133,85,38,61,12,2,26,1944,3,3,0.0,None,None,2015-12-29,15,14,29,107918
134,59,62,64,12,4,14,2592,6,1,0.0,None,None,2015-12-29,15,14,30,109740
135,47,53,51,11,5,34,2916,16,2,0.0,None,None,2015-12-29,15,14,31,111529
136,80,73,56,10,1,34,3239,16,2,0.0,None,None,2015-12-29,15,14,32,113237
137,80,73,56,10,1,34,3239,16,2,0.0,None,None,2015-12-29,15,14,33,114819
138,80,85,84,11,2,22,3887,11,7,0.0,None,None,2015-12-29,15,14,34,116558
139,71,80,58,13,5,27,4211,11,7,0.0,None,None,2015-12-29,15,14,35,118298
140,35,46,44,9,3,18,4859,2,4,0.0,None,None,2015-12-29,15,14,36,120071
141,87,71,51,12,1,27,5183,10,2,0.0,None,None,2015-12-29,15,14,37,121878
142,52,54,45,9,3,28,5507,10,5,0.0,None,None,2015-12-29,15,14,38,123594
143,63,45,58,13,1,21,0,15,4,0.0,None,None,2015-12-29,15,14,39,125352
144,41,86,51,13,1,32,324,9,4,0.0,None,None,2015-12-29,15,14,40,126969
145,88,44,78,12,5,12,648,11,5,0.0,None,None,2015-12-29,15,14,41,128636
146,62,87,42,11,3,19,972,15,4,0.0,None,None,2015-12-29,15,14,42,130317
147,53,69,79,12,1,11,1620,5,2,0.0,None,None,2015-12-29,15,14,43,131956
148,43,49,86,13,5,27,1944,13,2,0.0,None,None,2015-12-29,15,14,44,133672
149,67,52,54,11,5,11,2268,17,3,0.0,None,None,2015-12-29,15,14,45,135316
150,62,76,52,13,2,34,2592,3,7,0.0,None,None,2015-12-29,15,14,46,136987
